Date,Company,Title,Level,Standard Level,Skill Index,Location,Total Yearly Compensation,Base Salary (/year),Stock Grant (/year),Bonus (/year),Years of Experience,Years at Company,Tag,Gender,Other Details
2/5/2020,JPMorgan Chase,Software Engineer,Senior Associate,Software Engineer,28.57,"London, EN, United Kingdom",87000,78000,,9000,3,1,Full Stack,Male,
2/5/2020,TripAdvisor,Software Engineer,Principal Software Engineer,,,"Oxford, EN, United Kingdom",212000,121000,70000,21000,17,4,Distributed Systems (Back-End),Male,
2/5/2020,Salesforce,Software Engineer,Lead MTS,Senior Engineer,61,"San Francisco, CA",275000,200000,45000,30000,14,1,Testing (SDET),Male,
2/5/2020,Adobe,Software Engineer,Senior Software Engineer (5),Senior Engineer,44.55,"San Jose, CA",270000,190000,60000,20000,12,1,Distributed Systems (Back-End),,
2/5/2020,Rokt,Software Engineer,L3,,,"Sydney, NS, Australia",133000,115000,10000,8000,2,1,Web Development (Front-End),Male,
2/5/2020,Turbonomic,Software Engineer,Senior,,,"New York, NY",180000,155000,,25000,5,2,Web Development (Front-End),Male,Masters
2/5/2020,Salesforce,Software Engineer,Senior MTS,Senior Engineer,44.5,"San Francisco, CA",192000,177000,,15000,12,4,Full Stack,Male,Masters
2/5/2020,Uber,Software Engineer,Senior Software Engineer,Senior Engineer,50,"San Francisco, CA",250000,162000,72000,16000,4,4,Distributed Systems (Back-End),Male,
2/5/2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Seattle, WA",158000,112000,20000,26000,0,0,Distributed Systems (Back-End),Female,Masters
2/5/2020,Amazon,Software Engineer,Principal SDE,Staff Engineer,75,"Toronto, ON, Canada",343000,165000,178000,0,36,2,Distributed Systems (Back-End),Male,
2/5/2020,Apple,Software Engineer,ICT2,Entry Level Engineer,6.25,"Cupertino, CA",172000,126000,21000,20000,0,0,iOS,Male,
2/5/2020,SquareSpace,Software Engineer,L4,,,"New York, NY",175000,175000,,0,7,2,API Development (Back-End),Male,
2/5/2020,Citi,Software Engineer,VP,,,"New York, NY",150000,145000,,5000,11,7,Distributed Systems (Back-End),Male,Masters
2/5/2020,Google,Software Engineer,L4,Software Engineer,30.61,"New York Mills, NY",300000,170000,96000,34000,3,3,ML / AI,Male,
2/5/2020,Twitter,Software Engineer,Senior SWE,Senior Engineer,50.51,"New York, NY",339000,183000,120000,36000,12,5,Mobile (iOS + Android),Male,PhD
2/5/2020,Microsoft,Software Engineer,SDE II,Software Engineer,21.59,"Seattle, WA",173000,130000,30000,13000,2,2,Distributed Systems (Back-End),Male,
2/5/2020,Animoto,Software Engineer,L2,,,"New York, NY",140000,130000,5000,5000,10,2,Web Development (Front-End),Male,
2/5/2020,Whole Foods Market,Software Engineer,IC4,,,"Austin, TX",86000,80000,,7000,1,0,Web Development (Front-End),Male,
2/5/2020,Stripe,Software Engineer,L3,Senior Engineer,55.19,"Denver, CO",428000,200000,200000,28000,10,1,Security,Male,
2/5/2020,Oracle,Software Engineer,IC-3,Software Engineer,30,"Seattle, WA",217000,150000,67000,0,4,1,Web Development (Front-End),Male,
2/5/2020,DoorDash,Software Engineer,E5,Senior Engineer,59.6,"San Francisco, CA",480000,189000,291000,0,5,2,API Development (Back-End),Male,
2/5/2020,Yelp,Software Engineer,IC1,Entry Level Engineer,7.58,"San Francisco, CA",150000,110000,30000,10000,0,0,iOS,Male,
2/5/2020,IBM,Software Engineer,Staff Engineer,Software Engineer,30.3,"Austin, TX",108000,108000,,0,3,1,DevOps,Male,
2/5/2020,Google,Software Engineer,L4,Software Engineer,30.61,"Mountain View, CA",247000,149000,65000,33000,2,2,API Development (Back-End),Male,Masters
2/5/2020,Microsoft,Software Engineer,SDE II,Software Engineer,21.59,"Bellevue, WA",132000,120000,4000,9000,14,14,Full Stack,Male,Bing
2/6/2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Seattle, WA",170000,135000,,35000,4,1,Full Stack,Male,Masters
2/6/2020,Compart ag,Software Engineer,senior software engineer,,,"Sindelfingen, BW, Germany",71000,69000,,2000,13,2,API Development (Back-End),,
2/6/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Seattle, WA",142000,142000,2000,0,3,3,Full Stack,Male,
2/6/2020,PayPal,Software Engineer,T26,Senior Engineer,54.93,"San Jose, CA",350000,175000,150000,25000,10,6,Full Stack,Male,
2/6/2020,Salesforce,Software Engineer,Lead MTS,Senior Engineer,61,"San Francisco, CA",321000,214000,75000,32000,4,0,Networking,Male,
2/6/2020,Juniper Networks,Software Engineer,Software Engineer Staff,,,"Ottawa, ON, Canada",126000,91000,20000,15000,14,7,Networking,Male,Masters
2/6/2020,Sirius XM,Software Engineer,Staff,,,"Atlanta, GA",280000,167000,85000,25000,20,1.5,Site Reliability (SRE),Male,
2/6/2020,Yahoo,Software Engineer,Software Engineer,Software Engineer,26.06,"Champaign, IL",157000,124000,15000,18000,3,3,Distributed Systems (Back-End),,Masters
2/6/2020,Capital One,Software Engineer,Senior Software Eng,Software Engineer,36.54,"Richmond, VA",139000,127000,2000,12000,6,6,API Development (Back-End),Male,
2/6/2020,Facebook,Software Engineer,E4,Software Engineer,30.3,"San Francisco, CA",360000,185000,100000,75000,5,0,Distributed Systems (Back-End),,
2/6/2020,Comcast,Software Engineer,Principal,,,"Philadelphia, PA",177000,150000,12000,15000,15,5,Site Reliability (SRE),Male,Masters
2/6/2020,Cisco,Software Engineer,Software Engineer III,Software Engineer,26.8,"Milpitas, CA",193000,150000,25000,18000,3,0,API Development (Back-End),Male,Masters
2/6/2020,The New York Times,Software Engineer,Software Engineer,,,"New York, NY",137000,125000,,12000,3,3,Site Reliability (SRE),Female,
2/6/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Cupertino, CA",210000,160000,50000,0,12,0,Full Stack,,Masters
2/6/2020,Microsoft,Software Engineer,64,Senior Engineer,50.57,"Seattle, WA",280000,175000,90000,15000,13,2,Networking,Male,Masters
2/6/2020,Microsoft,Software Engineer,SDE,Entry Level Engineer,3.98,"Atlanta, GA",161000,104000,32000,25000,0,0,Distributed Systems (Back-End),Male,Masters
2/6/2020,Esurance,Software Engineer,Staff,,,"San Francisco, CA",130000,117000,,13000,9,2,Testing (SDET),Male,
2/6/2020,Dummy Company,Software Engineer,Senior,,,"San Francisco, CA",210000,150000,50000,10000,3,1,Full Stack,,
2/6/2020,Facebook,Software Engineer,E7,Principal Engineer,80.81,"Menlo Park, CA",1300000,280000,950000,70000,22,8,iOS,Male,
2/6/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Tempe, AZ",205000,140000,60000,0,15,5,Distributed Systems (Back-End),Male,
2/6/2020,Apple,Software Engineer,ICT3,Software Engineer,25,"Cupertino, CA",297000,160000,113000,24000,2,0,ML / AI,Male,
2/6/2020,Salesforce,Software Engineer,Senior MTS,Senior Engineer,44.5,"Herndon, VA",225000,172000,27000,26000,12,1,Distributed Systems (Back-End),Male,
2/6/2020,CGI,Software Engineer,L3,,,"Washington, DC",110000,100000,10000,0,3,3,Full Stack,,Masters
2/6/2020,Idemia,Software Engineer,Intermediate,,,"Vancouver, BC, Canada",70000,66000,,4000,6,3,API Development (Back-End),Male,
2/6/2020,Alo Moves,Software Engineer,Midlevel,,,"Seattle, WA",130000,130000,,0,6,1,API Development (Back-End),Male,
2/6/2020,Headstrong,Software Engineer,Principal,,,"New York, NY",160000,148000,2000,10000,17,10,Distributed Systems (Back-End),Male,
2/6/2020,Amazon,Software Engineer,2,,,"Arlington, VA",210000,150000,10000,50000,3,0,Distributed Systems (Back-End),,
2/6/2020,AWL,Software Engineer,Principal,,,"New Stanton, PA",110000,110000,,0,11,11,Full Stack,Male,
2/6/2020,DigitalOcean,Software Engineer,IC3,,,"Toronto, ON, Canada",151000,142000,8000,1000,6,2,Distributed Systems (Back-End),,Masters
2/6/2020,Square,Software Engineer,Level 5,Senior Engineer,51,"San Francisco, CA",290000,170000,120000,0,4,0,API Development (Back-End),Male,15000 signing
2/6/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"San Francisco, CA",278000,183000,51000,44000,4,0,API Development (Back-End),Male,
2/6/2020,Lyft,Software Engineer,T4,Software Engineer,30.3,"San Francisco, CA",265000,160000,105000,0,4,0,API Development (Back-End),Male,$20K signing
2/6/2020,SquareSpace,Software Engineer,Software Engineer 2,Entry Level Engineer,15.31,"New York, NY",145000,130000,10000,5000,0,1,API Development (Back-End),Male,
2/6/2020,3M,Software Engineer,T3,,,"Silver Spring, MD",115000,109000,,7000,14,5,Distributed Systems (Back-End),Female,
2/6/2020,Google,Software Engineer,L4,Software Engineer,30.61,"Seattle, WA",239000,149000,68000,22000,8,1,Site Reliability (SRE),Male,
2/6/2020,Honeywell International,Software Engineer,Senior,,,"Atlanta, GA",133000,125000,8000,0,8,2,API Development (Back-End),Male,
2/6/2020,Square,Software Engineer,Level 4,Software Engineer,30,"San Francisco, CA",200000,140000,60000,0,3,1,Web Development (Front-End),,
2/6/2020,Capital One,Software Engineer,Software Eng,Software Engineer,20.19,"Washington, DC",117000,111000,,6000,2,2,Full Stack,Male,
2/6/2020,Susquehanna International Group,Software Engineer,Software Developer,,,"Bala Cynwyd, PA",165000,150000,,15000,10,6,Distributed Systems (Back-End),Male,Masters
2/6/2020,Booking.com,Software Engineer,Senior,,,"Amsterdam, NH, Netherlands",175000,115000,40000,20000,15,5,Distributed Systems (Back-End),Male,
2/6/2020,Starbucks,Software Engineer,Senior,,,"Seattle, WA",148000,134000,4000,10000,9,5,API Development (Back-End),Male,
2/6/2020,Goldman Sachs,Software Engineer,Vice President,Senior Engineer,50,"New York, NY",175000,140000,,35000,9,4,API Development (Back-End),Other,Masters
2/6/2020,Comcast,Software Engineer,Distinguished Engineer,Principal Engineer,90.91,"Philadelphia, PA",285000,195000,41000,49000,22,12,Web Development (Front-End),Male,
2/6/2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Seattle, WA",130000,100000,30000,0,3,2,Testing (SDET),Male,
2/6/2020,Starbucks,Software Engineer,Senior Application Developer,,,"Seattle, WA",151000,135000,4000,12000,10,4,DevOps,Male,
2/6/2020,Splunk,Software Engineer,Senior Software Engineer,Senior Engineer,46.27,"San Jose, CA",470000,190000,250000,30000,9,4,Distributed Systems (Back-End),Male,
2/6/2020,Oracle,Software Engineer,IC-3,Software Engineer,30,"Redwood City, CA",185000,145000,40000,0,12,2,API Development (Back-End),,
2/6/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Seattle, WA",210000,140000,70000,0,5,5,Distributed Systems (Back-End),Male,Masters
